Altitude_m;Temperature_degC;Humidity_%;Pressure_hPa;PM1_ug/m3;PM2.5_ug/m3;PM10_ug/m3
379;0.89;67;899.63;29;47;66
377;0.89;67;899.79;29;47;64
380;0.88;67;899.45;29;48;69
387;0.85;67;898.75;30;48;69
396;0.82;67;897.74;30;48;69
410;0.79;67;896.20;32;50;69
419;0.77;67;895.18;32;50;69
431;0.75;67;893.95;34;51;66
427;0.76;67;894.32;31;48;66
428;0.79;67;894.27;31;47;66
428;0.76;67;894.30;31;47;69
427;0.73;67;894.34;32;49;71
425;0.73;67;894.54;35;52;73
426;0.75;67;894.50;37;55;72
426;0.74;67;894.48;38;56;72
426;0.70;67;894.44;41;65;92
425;0.69;67;894.54;41;66;93
427;0.67;67;894.40;41;68;102
426;0.66;67;894.42;43;71;107
426;0.63;67;894.45;41;68;98
426;0.61;67;894.42;41;66;98
427;0.59;68;894.39;40;63;89
427;0.57;68;894.37;40;65;92
427;0.56;68;894.39;40;62;89
426;0.55;68;894.44;40;64;89
428;0.54;68;894.30;38;62;89
432;0.54;68;893.80;37;62;90
436;0.51;68;893.37;32;58;80
441;0.49;68;892.89;32;56;80
446;0.47;68;892.25;34;56;82
452;0.45;68;891.62;34;56;82
458;0.42;68;890.96;36;60;85
463;0.41;68;890.41;35;59;85
469;0.39;68;889.85;39;61;87
469;0.41;68;889.79;39;61;85
469;0.40;68;889.85;42;63;90
468;0.38;68;889.87;42;64;93
468;0.38;68;889.90;46;70;100
468;0.36;68;889.88;46;70;103
468;0.35;68;889.92;46;72;105
468;0.32;68;889.90;45;72;105
468;0.32;68;889.92;45;69;97
467;0.32;68;889.98;43;69;94
467;0.32;68;889.97;43;67;91
468;0.31;68;889.94;43;67;91
468;0.30;68;889.90;42;66;91
468;0.26;68;889.91;42;66;91
468;0.24;68;889.92;40;64;94
468;0.23;68;889.90;42;64;94
468;0.22;68;889.88;42;63;94
468;0.21;68;889.89;42;64;93
468;0.18;68;889.88;42;63;90
469;0.17;68;889.82;42;63;90
468;0.16;68;889.87;42;63;87
469;0.14;69;889.83;42;64;93
469;0.12;69;889.79;40;61;87
468;0.10;69;889.89;42;63;87
469;0.08;69;889.86;42;64;93
469;0.08;69;889.78;40;61;85
461;0.09;69;890.69;40;64;88
454;0.12;69;891.43;40;64;88
447;0.13;69;892.23;42;66;96
440;0.17;69;892.92;42;66;97
432;0.17;69;893.80;46;75;109
424;0.19;69;894.71;48;76;111
416;0.22;69;895.60;52;88;124
407;0.24;69;896.49;54;90;129
399;0.27;69;897.41;54;88;121
391;0.29;69;898.29;53;87;120
379;0.31;69;899.57;55;88;119
371;0.33;69;900.46;55;88;119
359;0.37;69;901.75;55;84;117
350;0.37;69;902.72;55;84;117
339;0.40;69;903.97;52;83;115
332;0.39;69;904.77;52;80;110
325;0.42;69;905.54;45;74;102
317;0.43;70;906.34;45;72;99
310;0.46;70;907.13;41;65;87
305;0.48;70;907.63;39;64;86
298;0.50;70;908.42;43;67;93
292;0.52;70;909.13;43;67;93
282;0.56;70;910.21;45;70;99
275;0.59;70;911.01;45;71;104
267;0.63;70;911.92;51;83;114
259;0.65;70;912.70;51;83;113
250;0.68;70;913.70;50;88;119
244;0.71;70;914.44;50;88;114
236;0.74;70;915.31;51;93;125
229;0.76;69;916.08;51;92;124
218;0.80;69;917.25;51;89;121
211;0.82;69;918.02;51;89;121
204;0.85;69;918.85;55;96;127
197;0.88;69;919.64;55;96;127
188;0.91;69;920.59;60;99;125
181;0.95;69;921.43;59;96;120
173;0.97;69;922.30;52;87;113
166;1.00;69;923.06;53;90;117
159;1.03;69;923.85;50;82;111
152;1.06;69;924.68;49;79;112
144;1.08;69;925.46;49;79;114
138;1.11;69;926.19;49;79;114
129;1.16;69;927.24;52;81;112
121;1.18;69;928.05;53;84;115
113;1.21;69;928.95;53;92;126
106;1.25;69;929.77;53;93;125
96;1.27;69;930.92;51;90;116
90;1.31;69;931.57;50;88;114
84;1.36;69;932.22;50;86;110
77;1.39;69;933.02;50;86;110
70;1.43;69;933.78;50;80;107
63;1.48;69;934.55;50;80;107
56;1.52;69;935.38;48;76;103
49;1.56;69;936.16;48;76;104
43;1.61;69;936.86;48;77;106
35;1.65;69;937.70;47;75;105
30;1.71;69;938.29;47;75;105
23;1.74;69;939.15;45;75;103
15;1.79;69;939.96;48;77;102
9;1.82;68;940.65;48;78;102
5;1.86;68;941.17;50;83;105
3;1.90;68;941.33;50;81;107
-1;1.93;68;941.79;49;84;108
-4;1.96;68;942.14;48;82;109
-2;2.02;68;941.97;46;79;109
-2;2.05;68;941.98;48;83;111
-2;2.07;68;941.97;48;83;110
-2;2.11;68;941.94;48;83;110
-2;2.14;68;941.95;54;92;122
-3;2.17;68;941.99;52;92;124
-2;2.20;68;941.94;54;86;118
-2;2.22;68;941.89;53;85;118
-2;2.25;68;941.98;53;87;119
-3;2.28;68;942.00;53;87;119
-3;2.32;68;942.04;49;83;110
-3;2.34;68;942.03;51;87;112
-3;2.38;68;942.03;52;87;112
-3;2.40;67;942.01;52;85;109
-3;2.43;67;942.02;51;81;110
-3;2.46;67;942.02;51;81;110
-3;2.50;67;942.08;50;78;110
-3;2.51;67;942.04;50;78;110
-3;2.56;67;942.06;52;80;111
-3;2.60;67;942.05;52;80;111
-3;2.64;67;942.07;49;76;110
-4;2.68;67;942.12;49;77;111
-3;2.73;67;942.05;46;74;108
-3;2.75;67;942.05;45;74;107
-3;2.78;67;942.03;44;76;113
-3;2.83;67;942.04;43;76;111
-3;2.87;67;942.01;45;76;109
-3;2.92;67;942.04;47;77;109
-3;2.98;67;942.04;47;73;106
-3;3.03;67;942.04;48;75;104
-3;3.10;67;942.07;48;77;107
-3;3.16;67;942.02;48;76;107
-3;3.21;67;942.07;49;80;108
